Disease,Title,Journal,Year,PMID
Three cases of autoinflammatory disease,"Three cases of autoinflammatory disease with novel NLRC4 mutations, and the first mutation reported in the CARD domain of NLRC4 associated with autoinflammatory infantile enterocolitis (AIFEC).",Pediatric rheumatology online journal,2024,39425177
Risk of cancer development associated with disease,Risk of cancer development associated with disease-modifying therapies for multiple sclerosis: study protocol for a systematic review and meta-analysis of randomised and non-randomised studies.,Systematic reviews,2024,39425150
Quality of life and unmet needs in patients with fabry disease,Quality of life and unmet needs in patients with fabry disease: a qualitative study.,Orphanet journal of rare diseases,2024,39425141
s Disease,Intestinal homeostasis disrupted by Periodontitis exacerbates Alzheimer's Disease in APP/PS1 mice.,Journal of neuroinflammation,2024,39425119
Risk factors for Pseudomonas aeruginosa isolation in chronic obstructive pulmonary disease,Risk factors for Pseudomonas aeruginosa isolation in chronic obstructive pulmonary disease: a systematic review and meta-analysis.,BMC pulmonary medicine,2024,39425103
s disease,Optical genome mapping of structural variants in Parkinson's disease-related induced pluripotent stem cells.,BMC genomics,2024,39425080
scalar data integration decoding risk genes for chronic kidney disease,Multi-scalar data integration decoding risk genes for chronic kidney disease.,BMC nephrology,2024,39425076
s disease,Correction: Parkinson's disease in a patient with GBA and LRRK2 covariants after acute hypoxic insult: a case report.,BMC neurology,2024,39425052
Optimal risk thresholds for prescribing statins as primary prevention of cardiovascular disease,Optimal risk thresholds for prescribing statins as primary prevention of cardiovascular disease in Iranian general population: a benefit-harm modelling study.,BMC cardiovascular disorders,2024,39425029
related liver disease,Oral supplementation of choline attenuates the development of alcohol-related liver disease (ALD).,"Molecular medicine (Cambridge, Mass.)",2024,39425011
related hope and distress from restrictions in chronic kidney disease,Association between health-related hope and distress from restrictions in chronic kidney disease and dialysis.,BMC nephrology,2024,39425008
s disease,The mitochondrial long non-coding RNA lncMtloop regulates mitochondrial transcription and suppresses Alzheimer's disease.,The EMBO journal,2024,39424953
s disease,Aging-dependent loss of functional connectivity in a mouse model of Alzheimer's disease and reversal by mGluR5 modulator.,Molecular psychiatry,2024,39424929
s disease,Reaching and stepping respond differently to medication and cueing in Parkinson's disease.,Scientific reports,2024,39424838
s disease,Upregulation of microRNAs correlates with downregulation of HERV-K expression in Parkinson's disease.,Journal of neurovirology,2024,39424758
Discrimination of Left Atrial Strain Patterns in Hypertensive Heart Disease,Discrimination of Left Atrial Strain Patterns in Hypertensive Heart Disease and Hypertrophic Cardiomyopathy: a Cardiac Magnetic Resonance Feature.,Journal of imaging informatics in medicine,2024,39424667
Assessing the impact of meteorological factors and air pollution on respiratory disease,Assessing the impact of meteorological factors and air pollution on respiratory disease mortality rates: a random forest model analysis (2017-2021).,Scientific reports,2024,39424664
s disease,Cognivue Clarity characterizes mild cognitive impairment and Alzheimer's disease in biomarker confirmed cohorts in the Bio-Hermes Study.,Scientific reports,2024,39424626
evaluating Semaglutide in People with Symptomatic Peripheral Artery Disease,Design and Baseline Characteristics of the STRIDE Trial: evaluating Semaglutide in People with Symptomatic Peripheral Artery Disease and Type 2 Diabetes.,European heart journal. Cardiovascular pharmacotherapy,2024,39424598
and its inhibitors with ischemic heart disease,Phosphodiesterase 5 and its inhibitors with ischemic heart disease: a Mendelian randomization analysis and a real-world study.,European heart journal. Cardiovascular pharmacotherapy,2024,39424597
CNS disease,CNS disease associated with enhanced type I interferon signalling.,The Lancet. Neurology,2024,39424561
derived natural compounds in lung disease,Plant-derived natural compounds in lung disease treatment: A systematic bibliometric analysis.,Asian journal of surgery,2024,39424509
Quality assurance of serologic testing for Chagas disease,"Corrigendum to: Quality assurance of serologic testing for Chagas disease in a primary care setting of rural Paraguay [Acta Tropica, volume 259 (2024) 107382].",Acta tropica,2024,39424494
Can large language models address unmet patient information needs and reduce provider burnout in the management of thyroid disease,Can large language models address unmet patient information needs and reduce provider burnout in the management of thyroid disease?,Surgery,2024,39424485
Distinguished moderator commentary on parathyroidectomy in renal disease,Distinguished moderator commentary on parathyroidectomy in renal disease.,Surgery,2024,39424482
A pilot metabolomics study across the continuum of interstitial lung disease fibrosis,A pilot metabolomics study across the continuum of interstitial lung disease fibrosis severity.,Physiological reports,2024,39424430
Statin suppresses the development of excessive intimal proliferation in a Kawasaki disease,Statin suppresses the development of excessive intimal proliferation in a Kawasaki disease mouse model.,Physiological reports,2024,39424429
Mitral Annular Disjunction in Heritable Thoracic Aortic Disease,Mitral Annular Disjunction in Heritable Thoracic Aortic Disease: Insights From the Montalcino Aortic Consortium.,Journal of the American Heart Association,2024,39424426
Australian Adults With Coronary Heart Disease,Dose-Response Independent and Joint Associations of Physical Activity and Sedentary Behavior With Mortality Risk in 40 156 Australian Adults With Coronary Heart Disease.,Journal of the American Heart Association,2024,39424425
and National Burden of Nonrheumatic Valvular Heart Disease,"Global, Regional, and National Burden of Nonrheumatic Valvular Heart Disease and Its Attributable Risk Factors in 204 Countries and Territories, 1990 to 2019: Results From the Global Burden of Disease Study 2019.",Journal of the American Heart Association,2024,39424422
Results From the Global Burden of Disease,"Global, Regional, and National Burden of Nonrheumatic Valvular Heart Disease and Its Attributable Risk Factors in 204 Countries and Territories, 1990 to 2019: Results From the Global Burden of Disease Study 2019.",Journal of the American Heart Association,2024,39424422
Association of Coronary Microvascular Rarefaction and Myocardial Fibrosis With Coronary Artery Disease,Association of Coronary Microvascular Rarefaction and Myocardial Fibrosis With Coronary Artery Disease.,Journal of the American Heart Association,2024,39424420
First Approach to Mendelian Cardiovascular Disease,Promise and Peril of a Genotype-First Approach to Mendelian Cardiovascular Disease.,Journal of the American Heart Association,2024,39424414
Coronary Artery Disease,"Effects of Perfusion, Coronary Artery Disease Burden, and Revascularization in Establishing Organized Cardiac Rhythm During Extracorporeal Cardiopulmonary Resuscitation for Shockable Refractory Out-of-Hospital Cardiac Arrest.",Journal of the American Heart Association,2024,39424411
reported outcome measures to screen for active disease,Combining patient-reported outcome measures to screen for active disease in rheumatoid arthritis and psoriatic arthritis.,RMD open,2024,39424407
sharing echocardiographic active case finding programme for rheumatic heart disease,NEARER SCAN (LENO BESIK) evaluation of a task-sharing echocardiographic active case finding programme for rheumatic heart disease in Australia and Timor-Leste: protocol for a hybrid type II effectiveness-implementation study.,BMJ open,2024,39424380
for the treatment of patients with Lafora disease,"VAL-1221 for the treatment of patients with Lafora disease: study protocol for a single-arm, open-label clinical trial.",BMJ open,2024,39424378
Assessing the Fidelity of Depression Screening Implementation in Coronary Heart Disease,Assessing the Fidelity of Depression Screening Implementation in Coronary Heart Disease Patients: A Cross-Sectional Study.,Journal of the American Heart Association,2024,39424376
Distribution and Association With Cardiovascular Risk Factors and Cerebral Small Vessel Disease,Choroid Plexus Volume in Rural Chinese Older Adults: Distribution and Association With Cardiovascular Risk Factors and Cerebral Small Vessel Disease.,Journal of the American Heart Association,2024,39424375
s disease,We need to rethink outcomes in Parkinson's disease research.,BMJ (Clinical research ed.),2024,39424336
Definitions of chronic disease,Definitions of chronic disease need to be more patient centred.,BMJ (Clinical research ed.),2024,39424319
Special Section on Cannabinoid Signaling in Human Health and Disease,Special Section on Cannabinoid Signaling in Human Health and Disease-Editorial.,The Journal of pharmacology and experimental therapeutics,2024,39424315
